,report_id,effective_date,report_type,pb_price_usd_dmt,reported_lead_price_rolling_40_mean,reported_lead_price_rolling_40_std,reported_lead_price_upper_1STD,reported_lead_price_lower_1STD,reported_lead_price_upper_2STD,reported_lead_price_lower_2STD
103,2023-000026264 Ascendant Resources Inc-f1-06003352_1-1-1,2023-07-24,,2314.851,2145.54748,169.42570753309798,2314.973187533098,1976.1217724669023,2484.398895066196,1806.6960649338043
104,2024-000006237 First Quantum Minerals Ltd-f1-06086044_1-1-1,2023-09-30,,2094.389,2141.657205,168.7510103376462,2310.408215337646,1972.9061946623538,2479.1592256752924,1804.1551843247075
105,2023-000030449 Silver Tiger Metals Inc-f1-06064060_2-1-1,2023-10-27,PEA,2094.389,2136.1456550000003,166.53499989032863,2302.6806548903287,1969.6106551096716,2469.2156547806576,1803.075655219343
106,2024-000007580 Discovery Silver Corp-f1-06085725_1-4-1,2024-02-16,FS,2204.62,2132.601155,163.42501208875655,2296.026167088756,1969.1761429112432,2459.451179177513,1805.7511308224866
107,2024-000008916 Tinka Resources Limited-f1-06113611_1-1-1,2024-02-28,,2204.62,2127.089605,156.8952149487953,2283.9848199487956,1970.194390051205,2440.8800348975906,1813.2991751024094
108,2024-000052252 Silver Mountain Resources Inc-f1-06149229_2-1-1,2024-05-15,,2072.3,2118.270055,149.45364475824633,2267.7236997582463,1968.8164102417536,2417.1773445164927,1819.3627654835072
109,2024-000032350 Atico Mining Corporation-f1-06168420_2-1-1,2024-07-02,,2028.2504,2124.883915,138.83677350119208,2263.720688501192,1986.0471414988078,2402.557462002384,1847.2103679976158
110,2024-000045314 Vizsla Silver Corp-f1-06174675_2-1-1,2024-07-24,,2425.082,2130.395465,146.26076966904455,2276.656234669045,1984.1346953309555,2422.917004338089,1837.873925661911
111,2024-000006180 New Pacific Metals Corp-f1-06205411_2-1-1,2024-09-05,PEA,2094.0,2122.118415,138.30849860952623,2260.4269136095263,1983.8099163904737,2398.7354122190523,1845.5014177809476
112,2024-000030449 Silver Tiger Metals Inc-f1-06217254_1-1-1,2024-10-22,PFS,2094.389,2119.3626400000003,137.7194312316443,2257.0820712316445,1981.643208768356,2394.8015024632887,1843.9237775367117
