,report_id,effective_date,report_type,au_price_usd_troy_oz,reported_gold_price_rolling_40_mean,reported_gold_price_rolling_40_std,reported_gold_price_upper_1STD,reported_gold_price_lower_1STD,reported_gold_price_upper_2STD,reported_gold_price_lower_2STD
155,2010-000025297 Sandstorm Resources Ltd-f1-01633095_2-1-1,2010-07-13,FS,1000.0,894.242377323242,113.10614971172602,1007.348527034968,781.1362276115159,1120.454676746694,668.03007789979
156,2010-000017718 Kimber Resources Inc-f1-01607599_1-1-1,2010-07-16,PEA,875.0,895.867377323242,112.32906203739338,1008.1964393606354,783.5383152858485,1120.5255013980286,671.2092532484552
157,2010-000025315 Andean Resources Limited-f1-01608512_2-1-1,2010-07-20,FS,850.0,892.742377323242,111.80868828685222,1004.5510656100942,780.9336890363898,1116.3597538969464,669.1250007495375
158,2010-000002950 Tyhee Development Corp-f1-01633185_1-1-1,2010-07-22,PFS,950.0,895.242377323242,111.94637599246236,1007.1887533157043,783.2960013307796,1119.1351293081666,671.3496253383172
159,2010-000030732 Chalice Gold Mines Limited-f1-01663134_1-1-1,2010-07-27,FS,900.0,896.492377323242,111.70713944124222,1008.1995167644842,784.7852378819997,1119.9066562057264,673.0780984407575
160,2010-000000343 Pediment Gold Corp-f1-01616509_1-1-1,2010-08-02,PEA,900.0,894.617377323242,110.98269057485733,1005.6000678980993,783.6346867483846,1116.5827584729566,672.6519961735273
161,2010-000003958 OPAWICA EXPLORATIONS INC-f1-01622819_1-1-1,2010-08-16,PEA,1000.0,899.617377323242,111.1158088123458,1010.7331861355877,788.5015685108962,1121.8489949479335,677.3857596985504
162,2010-000004159 Far West Mining Ltd-f1-01625530_1-1-1,2010-08-26,MRE,950.0,903.367377323242,110.19498831684993,1013.5623656400919,793.172389006392,1123.7573539569419,682.977400689542
163,2010-000008329 Antares Minerals Inc. ( Planet Ventures Inc.)-f1-01632733_2-1-1,2010-09-02,PEA,907.0,904.167377323242,110.09988127420758,1014.2672585974497,794.0674960490344,1124.3671398716572,683.9676147748269
164,2011a-000013727 MAG Silver Corp-f1-01686802_1-1-1,2010-09-08,,1000.0,907.0127500000001,111.08948271176095,1018.1022327117611,795.9232672882391,1129.191715423522,684.8337845764781
165,2010-000003532 International Minerals Corporation-f1-01648512_1-1-1,2010-09-09,,1000.0,909.5127500000001,112.04869632732822,1021.5614463273283,797.4640536726719,1133.6101426546566,685.4153573453436
166,2010-000002764 High River Gold Mines Ltd-f1-01636284_1-1-1,2010-09-17,FS,900.0,907.0127500000001,111.08948271176095,1018.1022327117611,795.9232672882391,1129.191715423522,684.8337845764781
167,2010-000022586 Donner Metals Ltd-f1-01646195_1-1-1,2010-09-21,,1000.0,912.0127500000001,110.64947583472761,1022.6622258347277,801.3632741652725,1133.3117016694553,690.7137983305449
168,2010-000003851 Salazar Resources Limited-f1-01641644_1-2-1,2010-09-24,,1050.0,913.2627500000001,111.94380213229002,1025.2065521322902,801.3189478677101,1137.15035426458,689.3751457354201
169,2010-000025178 White Tiger Gold Ltd-f1-01682018_2-1-1,2010-09-25,MRE,1200.0,918.2627500000001,120.08758327298506,1038.3503332729852,798.175166727015,1158.4379165459702,678.08758345403
