,report_id,effective_date,report_type,cad_rate,reported_CAD_RATE_rolling_40_mean,reported_CAD_RATE_rolling_40_std,reported_CAD_RATE_upper_1STD,reported_CAD_RATE_lower_1STD,reported_CAD_RATE_upper_2STD,reported_CAD_RATE_lower_2STD
290,2017-000011133 Kirkland Lake Gold Ltd-f1-02604315_1-1-4,2016-12-31,,1.25,1.2410025,0.0842067220883923,1.3252092220883922,1.1567957779116078,1.4094159441767846,1.0725890558232154
291,2018-000033313 MGX Minerals Inc-f1-02757379_1-1-1,2016-12-31,PEA,1.2987,1.2449175000000001,0.08312399106771512,1.3280414910677152,1.161793508932285,1.4111654821354302,1.07866951786457
292,2017-000011133 Kirkland Lake Gold Ltd-f1-02604315_1-1-1,2016-12-31,,1.25,1.2470975000000002,0.08205169879801984,1.32914919879802,1.1650458012019804,1.41120089759604,1.0829941024039604
293,2017-000022850 Alexco Resource Corp-f1-02603259_1-1-1,2017-01-03,,1.2658,1.2511225,0.078775882966676,1.329898382966676,1.1723466170333239,1.408674265933352,1.0935707340666478
294,2017-000010750 Geologix Explorations Inc-f1-02587974_1-1-1,2017-01-19,PEA,1.34,1.2558874999999998,0.07822772210930219,1.334115222109302,1.1776597778906976,1.4123429442186042,1.0994320557813955
295,2017-000010252 Wallbridge Mining Company Limited-f1-02592311_1-1-1,2017-02-02,PFS,1.31,1.259225,0.07759918632272295,1.336824186322723,1.181625813677277,1.4144233726454458,1.1040266273545543
296,2017-000016221 Bluestone Resources Inc-f1-02597764_1-1-1,2017-02-07,,1.2821,1.2600275,0.07766729169166325,1.3376947916916633,1.1823602083083369,1.4153620833833265,1.1046929166166737
297,2017-000026876 Maritime Resources Corp-f1-02611725_1-1-1,2017-03-02,,1.25,1.2600275,0.07766729169166325,1.3376947916916633,1.1823602083083369,1.4153620833833265,1.1046929166166737
298,2017-000035733 Champion Iron Limited-f1-02597268_1-1-1,2017-03-17,FS,1.3158,1.2624225,0.07787811807973394,1.3403006180797339,1.1845443819202661,1.4181787361594678,1.1066662638405322
299,2017-000005029 Darnley Bay Resources Limited-f1-02636784_2-1-1,2017-04-18,PEA,1.3333,1.2652675,0.07834711844062088,1.3436146184406208,1.1869203815593792,1.4219617368812418,1.1085732631187581
300,2017-000007875 Skeena Resources Limited-f1-02630480_1-1-1,2017-04-20,PEA,1.2987,1.2664849999999999,0.07848205919434438,1.3449670591943443,1.1880029408056554,1.4234491183886886,1.1095208816113111
301,2017-000022162 Golden Dawn Minerals Inc-f1-02592894_2-12-1,2017-05-05,PEA,1.3158,1.27188,0.07403540109558793,1.3459154010955878,1.197844598904412,1.4199508021911758,1.123809197808824
