date,lead_price,lead_price_quarterly,lead_price_yearly,lead_price_5y,lead_price_3y,lead_price_price_floor,lead_price_floor_spot_3y,lead_price_floor_spot_5y
2016-02-01,1765.75,1706.1777777777768,1768.9162463656667,2067.99788616166,1971.8897578700537,1765.75,1765.75,1765.75
2016-03-01,1802.19047619048,1738.0468253968265,1769.726248169419,2054.3006984459944,1961.5797710975671,1802.19047619048,1802.19047619048,1802.19047619048
2016-04-01,1732.27380952381,1766.7380952380965,1746.9688572964033,2037.8494749010208,1953.46601448381,1732.27380952381,1732.27380952381,1732.27380952381
2016-05-01,1707.8,1747.42142857143,1723.3041643139475,2025.9855165676875,1944.463435118731,1707.8,1707.8,1707.8
2016-06-01,1712.77272727273,1717.6155122655134,1713.576891586675,2012.4485847495057,1933.7158025429735,1712.77272727273,1712.77272727273,1712.77272727273
2016-07-01,1834.78571428571,1751.7861471861468,1719.5554112554116,1998.3446164955374,1927.8007318045331,1834.78571428571,1834.78571428571,1834.78571428571
2016-08-01,1835.52272727273,1794.3603896103898,1730.5489718614726,1989.0523816470525,1918.4240483028495,1835.52272727273,1835.52272727273,1835.52272727273
2016-09-01,1947.64318181818,1872.65054112554,1752.498403679654,1983.3852604349313,1914.610829808381,1914.610829808381,1914.610829808381,1947.64318181818
2016-10-01,2024.4880952381,1935.88466810967,1777.8629419191923,1984.453712815884,1912.084714096396,1912.084714096396,1912.084714096396,1984.453712815884
2016-11-01,2180.57954545455,2050.9036075036097,1824.7158008658018,1987.5597734219446,1914.6130480309798,1914.6130480309798,1914.6130480309798,1987.5597734219446
2016-12-01,2209.8375,2138.3017135642167,1866.653648088024,1990.6476900886112,1916.6438813643133,1916.6438813643133,1916.6438813643133,1990.6476900886112
2017-01-01,2242.61904761905,2211.0120310245334,1916.3552353896114,1993.021102787024,1919.4063422830243,1919.4063422830243,1919.4063422830243,1993.021102787024
2017-02-01,2311.5,2254.6521825396835,1961.8344020562781,1996.1917377076586,1925.0584256163577,1925.0584256163577,1925.0584256163577,1996.1917377076586
2017-03-01,2280.92391304348,2278.3476535541763,2001.7288551273614,1999.9289165614139,1931.3873306083067,1931.3873306083067,1931.3873306083067,1999.9289165614139
2017-04-01,2220.61111111111,2271.011674718197,2042.4236302596364,2002.378356132564,1935.096319805837,1935.096319805837,1935.096319805837,2002.378356132564
2017-05-01,2125.10714285714,2208.880722337243,2077.1992254977317,2004.4759751801828,1935.8680459963132,1935.8680459963132,1935.8680459963132,2004.4759751801828
2017-06-01,2132.93181818182,2159.550024050023,2112.2124830734892,2009.1755405709325,1936.590027718295,1936.590027718295,1936.590027718295,2009.1755405709325
2017-07-01,2269.85714285714,2175.9653679653666,2148.468435454442,2015.6485384064304,1938.7183058411383,1938.7183058411383,1938.7183058411383,2015.6485384064304
2017-08-01,2348.46590909091,2250.4182900432897,2191.2137006059565,2023.1600914367334,1941.8190949825528,1941.8190949825528,1941.8190949825528,2023.1600914367334
2017-09-01,2374.39285714286,2330.9053030303035,2226.77617354968,2026.4387223891142,1948.9622677819752,1948.9622677819752,1948.9622677819752,2026.4387223891142
2017-10-01,2498.21590909091,2407.0248917748936,2266.2534913707473,2032.376197685557,1961.8499077688002,1961.8499077688002,1961.8499077688002,2032.376197685557
2017-11-01,2461.43181818182,2444.6801948051966,2289.6578474313533,2037.033962837072,1973.8290554960731,1973.8290554960731,1973.8290554960731,2037.033962837072
2017-12-01,2509.92105263158,2489.856259968103,2314.6648101506516,2040.8692698546158,1989.7127752120296,1989.7127752120296,1989.7127752120296,2040.8692698546158
2018-01-01,2584.09090909091,2518.481259968103,2343.12079860664,2045.0296865212827,2010.2949962317507,2010.2949962317507,2010.2949962317507,2045.0296865212827
2018-02-01,2581.0625,2558.3581539074967,2365.5843402733067,2048.6176031879495,2032.1116628984173,2032.1116628984173,2032.1116628984173,2048.6176031879495
2018-03-01,2390.0,2518.38446969697,2374.67401418635,2052.2284365212827,2048.7097058277104,2048.7097058277104,2048.7097058277104,2052.2284365212827
2018-04-01,2352.4125,2441.1583333333333,2385.6574632604243,2057.6958273942987,2058.3499836054884,2057.6958273942987,2058.3499836054884,2057.6958273942987
2018-05-01,2360.92857142857,2367.780357142857,2405.30924897471,2063.179755965727,2068.6042129287966,2063.179755965727,2068.6042129287966,2063.179755965727
2018-06-01,2436.28571428571,2383.208928571427,2430.5887403167008,2068.7897262038223,2085.459371658955,2068.7897262038223,2085.459371658955,2068.7897262038223
2018-07-01,2207.02272727273,2334.74567099567,2425.352539018,2071.4446339772085,2097.792128575951,2071.4446339772085,2097.792128575951,2071.4446339772085
2018-08-01,2053.53409090909,2232.280844155843,2400.7748875028483,2069.4521466034707,2107.5125199900926,2053.53409090909,2053.53409090909,2053.53409090909
2018-09-01,2022.9125,2094.4897727272732,2371.4848577409434,2068.4187041431533,2116.919811656759,2022.9125,2022.9125,2022.9125
2018-10-01,1987.55434782609,2021.33364624506,2328.9297276355414,2066.2874722590955,2124.3487203084937,1987.55434782609,1987.55434782609,1987.55434782609
2018-11-01,1937.11363636364,1982.5268280632433,2285.2365458173604,2063.7467074683304,2133.2033980381716,1937.11363636364,1937.11363636364,1937.11363636364
2018-12-01,1972.31578947368,1965.6612578878032,2240.4361072208685,2061.0065122928922,2140.5848551531813,1972.31578947368,1972.31578947368,1972.31578947368
2019-01-01,1997.13636363636,1968.8552631578934,2191.523228432989,2058.5726107777405,2150.3330874764138,1997.13636363636,1997.13636363636,1997.13636363636
2019-02-01,2062.7875,2010.74655103668,2148.3336450996558,2057.8186524444072,2158.58412914308,2057.8186524444072,2062.7875,2057.8186524444072
2019-03-01,2046.46428571429,2035.4627164502165,2119.70566890918,2057.70833498409,2165.369512740964,2046.46428571429,2046.46428571429,2046.46428571429
2019-04-01,1938.9875,2016.0797619047632,2085.2535855758465,2055.2400016507563,2171.111559698636,1938.9875,1938.9875,1938.9875
