report_id,effective_date,report_type,pb_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2024-000031923 Rokmaster Resources Corp-f1-06083588_1-1-1,2023-12-29,PEA,1984.158,2138.3132833240484,1960.9045955000072,2315.222440870735,1783.495907675966,2492.131598417422
2024-000008916 Tinka Resources Limited-f1-06113611_1-1-1,2024-02-28,,2204.62,2138.2757641015164,1960.8701891216451,2315.1818175688795,1783.464614141774,2492.087871036243
2024-000007580 Discovery Silver Corp-f1-06085725_1-4-1,2024-03-28,FS,2204.62,2138.236994238234,1960.834635864005,2315.1398401569627,1783.432277489776,2492.042686075692
2024-000052252 Silver Mountain Resources Inc-f1-06149229_2-1-1,2024-05-15,PEA,2072.3428,2138.196932046175,1960.7978974977764,2315.096463497982,1783.3988629493779,2491.995994949789
2024-000007638 Southern Silver Exploration Corp-f1-06158987_1-1-1,2024-06-04,PEA,2204.62,2138.1555344477138,1960.7599345193398,2315.051640950368,1783.364334590966,2491.947747453022
2024-000045314 Vizsla Silver Corp-f1-06174675_2-1-1,2024-07-24,PEA,2425.082,2138.1127569293044,1960.7207061082895,2315.005324317834,1783.3286552872744,2491.8978917063637
2024-000006180 New Pacific Metals Corp-f1-06205411_2-1-1,2024-09-05,PEA,2094.0,2128.5471154936145,1951.948693888924,2304.6482882904447,1775.3502722842338,2480.749461087275
2024-000030449 Silver Tiger Metals Inc-f1-06217254_1-1-1,2024-10-22,PFS,2094.389,2129.6986860100683,1953.004722458436,2305.895131736039,1776.3107589068034,2482.091577462009
2025-000025425 Blue Moon Metals Inc-f1-06269952_2-1-1,2025-03-03,PEA,1984.158,2135.7662647285288,1958.5688945025302,2312.46469968489,1781.3715242765315,2489.163134641252
2025-000025425 Blue Moon Metals Inc-f1-06337712_3-1-1,2025-03-03,PEA,1984.158,2135.7662647285288,1958.5688945025302,2312.46469968489,1781.3715242765315,2489.163134641252
2025-000029200 Silver X Mining Corp-f1-06348374_1-1-1,2025-05-31,PEA,2041.88,2140.8198735528126,1963.203222336847,2317.936408928157,1785.586571120881,2495.0529443035016
2025-000053244 Canadian Copper Inc-f1-06307870_1-1-1,2025-07-07,PEA,2425.082,2144.1178693379065,1966.2275944629355,2321.50725792914,1788.3373195879644,2498.896646520374
