report_id,effective_date,report_type,cu_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2019-000012585 Americas Silver Corporation-f1-02918824_1-1-1,2019-04-03,,6613.86,6540.00992788108,5468.401404879863,7125.640233380621,4396.792881878646,7711.270538880162
2019-000025085 Sandspring Resources Ltd-f1-02941780_1-1-1,2019-06-11,PEA,6613.86,6550.55552947857,5762.982038027761,7379.72428989897,4975.40854657695,8208.89305031937
2019-000024140 Highland Copper Company Inc-f1-02983645_1-1-1,2019-09-22,,6613.86,6635.705657612339,5848.312636748483,7549.365875002871,5060.919615884627,8463.026092393404
2019-000015722 Platinum Group Metals Ltd-f1-02973302_1-1-1,2019-10-04,,6327.2594,6637.177751310529,5836.5963444857025,7534.451491030661,5036.014937660875,8431.725230750792
2019-000005643 American CuMo Mining Corporation-f1-02992459_1-1-1,2019-11-01,PEA,6613.86,6680.0545559717775,5874.301316497286,7583.12477008316,5068.548077022795,8486.194984194542
2020-000026264 Ascendant Resources Inc-f1-03022181_1-1-1,2019-12-19,,5952.474,6752.970554609652,5920.855663531194,7680.551508309497,5088.7407724527375,8608.132462009342
"2020-000043521 Nexa Resources S.A. (, VM Holding S.A.)-f1-03026212_1-1-1",2019-12-31,,6503.629,6756.653478429975,5924.084769919794,7684.740314683583,5091.516061409613,8612.827150937192
2020-000003212 Taseko Mines Limited-f1-03007907_1-2-1,2019-12-31,PFS,6834.322,6756.653478429975,5924.084769919794,7684.740314683583,5091.516061409613,8612.827150937192
2020-000047809 Jervois Mining Limited-f1-03135491_1-1-1,2020-01-20,,6613.86,6819.9301258137775,5967.678937334429,7749.561389827223,5115.42774885508,8679.192653840668
2020-000025546 Argonaut Gold Inc-f1-03014070_1-1-1,2020-01-31,PFS,6000.0,6824.9631873409035,6011.966719074928,7772.698852000746,5198.970250808953,8720.434516660589
2020-000048037 Tethyan Resource Corp-f1-03084677_1-1-1,2020-04-30,PEA,6500.0,6907.7755104670205,6044.940022413805,7931.089001750692,5182.104534360589,8954.402493034362
"2020-000025132 Marimaca Copper Corp. (, Coro Mining Corp.)-f1-03114720_1-1-1",2020-08-04,PEA,6944.553,7081.082127469294,6217.635994752065,8143.485444364466,5354.189862034837,9205.888761259637
2020-000033050 Trilogy Metals Inc. ( NovaCopper Inc.)-f1-03119913_1-1-1,2020-08-20,FS,6613.86,7089.010724162716,6208.585774548648,8148.101557167654,5328.16082493458,9207.192390172593
2020-000005620 Troilus Gold Corp-f1-03122905_2-1-1,2020-08-31,PEA,6613.86,7140.1651724299645,6238.275868868359,8195.62101690518,5336.386565306752,9251.076861380392
2020-000002899 Josemaria Resources Inc-f1-03131257_1-1-1,2020-09-28,FS,6613.86,7148.838415066519,6242.794947411829,8209.843118618099,5336.7514797571375,9270.84782216968
2021-000008433 Metallum Resources Inc-f1-03288400_1-1-1,2020-10-15,,7300.0,7157.800765790958,6237.874842471654,8201.519532552378,5317.948919152351,9245.2382993138
