report_id,effective_date,report_type,cad_rate,knn_mean,band1_low,band1_high,band2_low,band2_high
2016-000033407 Benton Resources Inc-f1-02472165_1-1-1,2016-03-07,PEA,1.25,1.2504030958502685,1.1240361725306554,1.3408516682479412,0.9976692492110423,1.431300240645614
2016-000002563 SEMAFO INC-f1-02459263_1-1-1,2016-03-23,FS,1.39,1.2509854428764975,1.122991235318477,1.339458390744163,0.9949970277604566,1.4279313386118286
2016-000022162 Golden Dawn Minerals Inc-f1-02487437_2-1-1,2016-03-24,,1.2048,1.2506286013826635,1.1226709039571048,1.3390763124907323,0.994713206531546,1.4275240235988012
2016-000008288 Denison Mines Corp-f1-02484220_1-1-1,2016-03-31,,1.35,1.25325762358173,1.1248486658770054,1.339347120069838,0.9964397081722809,1.4254366165579457
2016-000029998 Falco Resources Ltd. ( Falco Pacific Resource Group Inc.)-f1-02500830_2-1-1,2016-04-28,,1.3333,1.2659359525486986,1.1321478610449394,1.346645337629955,0.9983597695411799,1.4273547227112116
2016-000014472 ATAC Resources Ltd-f1-02507566_1-1-1,2016-05-31,PEA,1.2821,1.2797779932212425,1.1403223450452256,1.3553132494750841,1.0008666968692086,1.430848505728926
2016-000024066 AQM Copper Inc-f1-02506315_1-1-1,2016-06-01,PFS,1.15,1.2798172303480868,1.1403573065563102,1.3553548024617468,1.0008973827645335,1.4308923745754067
2016-000019932 New Millennium Iron Corp-f1-02509255_1-1-1,2016-06-09,PFS,1.35,1.2798620727787657,1.1390145979610595,1.3533843624782818,0.9981671231433534,1.426906652177798
2016-000009080 Klondex Mines Ltd-f1-02545180_2-1-1,2016-06-30,,1.25,1.2799133212709708,1.1357007926880103,1.3473561936207015,0.9914882641050495,1.4147990659704321
2016-000023243 Peregrine Diamonds Ltd-f1-02520978_2-1-1,2016-07-07,PEA,1.28,1.279336176690633,1.1351886771044843,1.346748637380752,0.9910411775183356,1.4141610980708708
2016-000008335 Gensource Potash Corporation-f1-02494168_2-2-1,2016-07-15,,1.31,1.2828566849013856,1.137059008014138,1.3484900809073672,0.9912613311268905,1.4141234769133488
2016-000000204 GoldQuest Mining Corp-f1-02552025_1-1-1,2016-09-27,,1.28,1.2922370754655268,1.1851856518712247,1.3560055465722727,1.0781342282769228,1.4197740176790183
2016-000032329 Copper North Mining Corp-f1-02557849_2-1-1,2016-10-12,PEA,1.2821,1.2985300583998374,1.1909573119039076,1.3626090715178292,1.083384565407978,1.4266880846358212
2016-000007482 Avalon Advanced Materials Inc-f1-02551917_1-1-1,2016-10-21,PEA,1.3,1.299020066742671,1.1909017532954624,1.3613992845072032,1.0827834398482539,1.4237785022717353
2017-000009025 IAMGOLD Corporation-f1-02583085_1-1-1,2016-12-09,PEA,1.3514,1.302907142857143,1.2068224578404136,1.3607762676700965,1.1107377728236842,1.4186453924830498
