report_id,effective_date,report_type,pb_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2022-000007638 Southern Silver Exploration Corp-f1-03445449_1-1-1,2022-10-13,,2072.3428,2116.2018817354697,1935.993000657055,2299.21553370738,1755.7841195786405,2482.2291856792904
2023-000030584 Atalaya Mining plc-f1-03508573_1-1-1,2022-10-31,PEA,2094.389,2115.9970822667356,1935.8056412461078,2298.9930227438126,1755.61420022548,2481.988963220889
2023-000029200 Silver X Mining Corp-f1-03516759_1-1-1,2022-10-31,,2050.3,2115.9970822667356,1935.8056412461078,2298.9930227438126,1755.61420022548,2481.988963220889
2023-000033050 Trilogy Metals Inc-f1-03491294_1-1-1,2023-01-20,FS,2204.62,2116.2194514949547,1936.0090742328703,2299.2346229371365,1755.7986969707858,2482.2497943793182
2023-000020073 CERRO DE PASCO RESOURCES INC. ( Genius Properties Ltd.)-f1-03518451_1-1-1,2023-01-31,PEA,2100.0,2116.1263883751863,1935.9239360662114,2299.133511520294,1755.7214837572365,2482.140634665402
2023-000029249 GoGold Resources Inc-f1-03557381_1-1-1,2023-05-17,PEA,2204.62,2116.54664221003,1936.3084024490167,2299.5901098030536,1756.0701626880034,2482.633577396077
2023-000026264 Ascendant Resources Inc-f1-06003352_1-1-1,2023-07-24,,2314.851,2129.160737440024,1947.8483222863733,2313.295098890712,1766.5359071327223,2497.4294603413996
2024-000006237 First Quantum Minerals Ltd-f1-06086044_1-1-1,2023-09-30,,2094.389,2137.284166616674,1955.279986610587,2322.1210595474563,1773.2758066045,2506.9579524782384
2023-000030449 Silver Tiger Metals Inc-f1-06064060_2-1-1,2023-10-27,PEA,2094.389,2140.2003485142945,1957.9478359264594,2325.2894390749457,1775.6953233386243,2510.3785296355964
2024-000007580 Discovery Silver Corp-f1-06085725_1-4-1,2024-02-16,FS,2204.62,2173.19384501871,1988.1317133963007,2361.1362835225373,1803.0695817738917,2549.078722026364
2024-000008916 Tinka Resources Limited-f1-06113611_1-1-1,2024-02-28,,2204.62,2168.7043943070967,1984.0245697303335,2356.2585755386986,1799.3447451535703,2543.812756770301
2024-000052252 Silver Mountain Resources Inc-f1-06149229_2-1-1,2024-05-15,,2072.3,2150.8456627608293,1967.6866297764038,2336.855382800861,1784.5275967919783,2522.865102840893
2024-000032350 Atico Mining Corporation-f1-06168420_2-1-1,2024-07-02,,2028.2504,2162.066471726662,1977.9519110839447,2349.046591256761,1793.8373504412273,2536.0267107868603
2024-000045314 Vizsla Silver Corp-f1-06174675_2-1-1,2024-07-24,,2425.082,2181.1830534018995,1995.4405867340192,2369.816415685349,1809.698120066139,2558.449777968798
2024-000006180 New Pacific Metals Corp-f1-06205411_2-1-1,2024-09-05,PEA,2094.0,2146.340346745028,1963.5649718440395,2331.9604374474925,1780.789596943051,2517.580528149957
2024-000030449 Silver Tiger Metals Inc-f1-06217254_1-1-1,2024-10-22,PFS,2094.389,2153.817539137175,1970.4054308100299,2340.084273384376,1786.9933224828844,2526.351007631577
