report_id,effective_date,report_type,zn_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2017-000004947 Yorbeau Resources Inc-f1-02711026_2-1-1,2017-12-06,,2866.006,2496.9414310608795,2170.9252948103763,2838.5167037420442,1844.9091585598733,3180.0919764232085
2018-000003827 Arizona Mining Inc-f1-02718639_1-1-1,2018-01-01,,2425.082,2498.344152693572,2172.1448684199568,2840.111314146425,1845.9455841463418,3181.878475599277
2018-000031478 Lupaka Gold Corp-f1-02756702_1-1-1,2018-03-01,,2755.775,2499.4157643458743,2157.6434195974734,2838.156545019447,1815.871074849073,3176.8973256930194
2018-000005208 Telson Mining Corporation-f1-02753739_1-1-1,2018-03-30,,2954.7,2500.125992910397,2158.256530873522,2838.96302942977,1816.3870688366464,3177.8000659491427
2018-000003353 Excellon Resources Inc-f1-02820544_1-1-1,2018-03-31,,2866.006,2500.268842373787,2158.379846973657,2839.1252389930028,1816.4908515735274,3177.9816356122187
2018-000031889 Callinex Mines Inc-f1-02792445_2-1-1,2018-05-14,PEA,2755.775,2502.2653151852464,2157.0207206085684,2833.5909870211844,1811.7761260318907,3164.916658857123
2018-000023055 Rockhaven Resources Ltd-f1-02802389_1-1-1,2018-06-05,PEA,1873.927,2504.03715863849,2158.548097829172,2835.5974407769295,1813.0590370198547,3167.157722915369
2018-000003467 Aurcana Corporation-f1-02825402_2-1-1,2018-06-15,,2645.544,2504.3819936820837,2158.845355010379,2835.987935528068,1813.3087163386745,3167.5938773740527
2018-000008846 Great Panther Silver Limited-f1-02795635_3-1-1,2018-07-13,,3306.93,2512.9521505960693,2166.2330632322655,2845.6928693899795,1819.5139758684613,3178.4335881838897
2018-000017006 Aquila Resources Inc-f1-02820553_2-1-1,2018-08-30,FS,2645.544,2513.2057911574125,2187.9456060117113,2858.621922862519,1862.6854208660106,3204.038054567626
"2018-000043521 Nexa Resources S.A. (, VM Holding S.A.)-f1-02832441_1-1-1",2018-10-15,,2226.6662,2517.650444109843,2186.7809639075094,2857.166226982502,1855.9114837051752,3196.6820098551602
2018-000026264 Ascendant Resources Inc-f1-02854966_2-1-1,2018-10-22,,2667.5902,2516.0557037445824,2185.3958042316353,2855.356429151715,1854.735904718688,3194.657154558848
2019-000007910 ABCOURT MINES INC-f1-02872804_2-1-1,2019-01-15,FS,2425.082,2516.485490335024,2167.317834899094,2852.89425170598,1818.1501794631636,3189.303013076936
2019-000030240 Vendetta Mining Corp-f1-02885600_1-1-1,2019-01-21,PEA,2072.3428,2515.995423240028,2163.1642766214372,2844.8792267855633,1810.3331300028467,3173.763030331099
2019-000032588 Toachi Mining Inc-f1-02930919_1-1-1,2019-03-30,,2667.5902,2522.4425891409,2170.49556454764,2848.717949330177,1818.5485399543795,3174.9933095194538
2019-000012585 Americas Silver Corporation-f1-02918824_1-1-1,2019-04-03,,1984.158,2523.2843466372187,2171.219874753965,2849.668587294771,1819.1554028707114,3176.0528279523232
2019-000031610 Nevada Zinc Corporation-f1-02970403_1-1-1,2019-06-27,PEA,2500.0,2528.077623240929,2175.3443633162783,2855.081869307958,1822.6111033916272,3182.0861153749875
2019-000008916 Tinka Resources Limited-f1-02937617_2-2-1,2019-07-02,,2645.544,2526.6986456086806,2174.157789299771,2853.5245223341867,1821.6169329908616,3180.350399059693
2020-000026264 Ascendant Resources Inc-f1-03022181_1-1-1,2019-12-19,,2645.544,2538.15242126423,2184.013462275131,2866.4598321160743,1829.8745032860324,3194.7672429679187
"2020-000043521 Nexa Resources S.A. (, VM Holding S.A.)-f1-03026212_1-1-1",2019-12-31,,2667.5902,2537.47782715912,2183.4329917743103,2865.697979955787,1829.3881563895006,3193.9181327524543
2020-000048037 Tethyan Resource Corp-f1-03084677_1-1-1,2020-04-30,PEA,2500.0,2542.8229288223833,2188.0323112998026,2871.7344650336568,1833.2416937772218,3200.64600124493
2020-000021551 ScoZinc Mining Ltd-f1-03088581_2-1-1,2020-07-06,PFS,2645.544,2547.269516568786,2191.8584832105084,2876.7562143416417,1836.4474498522313,3206.2429121144974
2020-000023055 Rockhaven Resources Ltd-f1-03086606_1-1-1,2020-07-10,PEA,2204.62,2552.657665532072,2196.4948438064957,2882.8413148436134,1840.33202208092,3213.0249641551545
2020-000033050 Trilogy Metals Inc. ( NovaCopper Inc.)-f1-03119913_1-1-1,2020-08-20,FS,2425.082,2554.0494206080816,2197.692412477601,2884.4130920103835,1841.33540434712,3214.7767634126853
2021-000008433 Metallum Resources Inc-f1-03288400_1-1-1,2020-10-15,,2700.0,2563.2119261012767,2205.576507687037,2894.760758185887,1847.9410892727976,3226.309590270497
2021-000031923 Rokmaster Resources Corp-f1-03163135_1-1-1,2020-12-08,,2358.9434,2574.596527625147,2215.3726581398087,2907.6179462331543,1856.14878865447,3240.6393648411618
2021-000031522 Rockcliff Metals Corporation-f1-03163342_1-1-1,2021-01-12,,2425.082,2580.366971484727,2220.337973448315,2914.134791083917,1860.3089754119028,3247.9026106831075
2022-000043356 Titan Mining Corporation-f1-03353194_1-1-1,2021-02-24,PEA,2535.313,2581.078546837194,2220.9502653407135,2914.938407977955,1860.8219838442326,3248.7982691187162
