report_id,effective_date,report_type,au_price_usd_troy_oz,knn_mean,band1_low,band1_high,band2_low,band2_high
2010-000003532 International Minerals Corporation-f1-01648512_1-1-1,2010-09-09,,1000.0,954.6962160414809,840.7728408644236,1089.8826961701861,726.8494656873663,1225.0691762988915
2010-000002764 High River Gold Mines Ltd-f1-01636284_1-1-1,2010-09-17,FS,900.0,954.0115263210624,840.4556544371042,1087.9084855522974,726.899782553146,1221.8054447835323
2010-000022586 Donner Metals Ltd-f1-01646195_1-1-1,2010-09-21,,1000.0,955.8933294855484,839.0346430526467,1091.6608765663557,722.1759566197451,1227.428423647163
2010-000003851 Salazar Resources Limited-f1-01641644_1-2-1,2010-09-24,,1050.0,960.0533127342776,842.6860651857847,1096.4117110158995,725.3188176372919,1232.7701092975215
2010-000025297 Sandstorm Resources Ltd-f1-01643054_3-1-1,2010-10-05,,1000.0,965.6309251172722,846.3908530364531,1099.104600526237,727.150780955634,1232.5782759352014
2011a-000010750 Geologix Explorations Inc-f1-01696761_1-8-1,2010-10-08,PEA,900.0,969.0060578265659,849.3492104985273,1102.9462586501425,729.6923631704888,1236.886459473719
2010-000027349 Fire River Gold Corp-f1-01647297_1-1-1,2010-10-08,,1000.0,969.0060578265659,849.3492104985273,1102.9462586501425,729.6923631704888,1236.886459473719
2010-000013503 Bear Creek Mining Corporation-f1-01647827_1-1-1,2010-10-21,FS,950.0,975.3754176315725,854.4813902140402,1107.3857846477056,733.5873627965079,1239.3961516638387
2010-000005208 SOHO Resources Corp-f1-01651891_1-1-1,2010-10-29,PEA,965.81,982.0123410370476,860.2956925183008,1114.9209700749386,738.5790439995541,1247.8295991128298
2011a-000024683 Ventana Gold Corp-f1-01648578_1-19-1,2010-11-08,,1000.0,985.1286884901148,858.9108042146569,1118.3913759595378,732.692919939199,1251.6540634289606
2010-000030584 EMED Mining Public Limited-f1-01647178_1-25-1,2010-11-17,PEA,1000.0,991.2637345718038,863.1870694817786,1125.7892780453167,735.1104043917535,1260.3148215188296
2010-000003985 Minera Andes Inc-f1-01677470_1-1-1,2010-12-01,PEA,980.0,1001.0813702991121,871.7362132839128,1136.9392764282725,742.3910562687134,1272.797182557433
2010-000005251 Grayd Resource Corporation-f1-01673026_1-1-1,2010-12-06,PEA,950.0,1003.2464468437045,873.569337817537,1139.4147371012564,743.8922287913693,1275.5830273588083
2011a-000017484 Almaden Minerals Ltd-f1-01690925_1-1-1,2010-12-10,PEA,1000.0,1002.6689392499478,873.0664774008868,1138.7588457545346,743.4640155518257,1274.8487522591213
2011a-000005689 Capstone Mining Corp-f1-01723434_2-1-1,2010-12-15,PFS,1000.0,1002.5325995616016,871.312345117205,1140.3358541071057,740.0920906728085,1278.1391086526096
2012-000014169 Rusoro Mining Ltd-f1-01863614_1-1-1,2010-12-30,FS,1225.0,1007.8868904995846,890.3817548723569,1201.8662630925935,772.876619245129,1395.8456356856025
2011a-000001108 Wesdome Gold Mines Ltd-f1-01686400_1-1-1,2011-01-12,PFS,991.65,1039.038260350446,914.2217762026015,1242.5829507137778,789.405292054757,1446.1276410771095
2011a-000026117 Oroco Resource Corp-f1-01692036_1-1-1,2011-01-28,PEA,1000.0,1051.2633123456076,920.0313335908908,1254.672426589863,788.799354836174,1458.0815408341186
2011a-000016090 Andina Minerals Inc-f1-01697086_1-1-1,2011-01-31,PFS,1025.0,1050.0253799218049,918.7002263840271,1253.0790705618122,787.3750728462494,1456.1327612018194
2011a-000027349 Fire River Gold Corp-f1-01710622_1-1-1,2011-02-25,,1200.0,1051.44488288787,914.8931958680172,1241.3439315177868,778.3415088481643,1431.2429801477033
2011a-000002878 Banro Corporation-f1-01708473_1-1-1,2011-03-03,PEA,1100.0,1049.4935570192447,913.1952896922571,1239.040181159728,776.8970223652695,1428.5868053002114
2011a-000005272 Jayden Resources Inc-f1-01707238_1-1-1,2011-03-04,PEA,1015.0,1049.4011282700849,908.2420729988136,1243.6924564907094,767.0830177275423,1437.983784711334
2011a-000020823 Equinox Minerals Limited-f1-01709025_1-1-1,2011-03-07,FS,850.0,1049.2954954139025,908.1506492317798,1243.5672662437653,767.0058030496571,1437.8390370736279
2011b-000031701 Aurvista Gold Corporation-f1-01752152_1-26-1,2011-03-15,,1126.3567479008807,1045.5681576904985,904.9246903019931,1239.1498307326824,764.2812229134877,1432.7315037748663
2011a-000005437 Prodigy Gold Inc-f1-01745481_2-1-1,2011-03-29,PEA,1000.0,1037.2438915966961,895.2767978894872,1230.025635862964,753.3097041822782,1422.8073801292321
2011a-000000923 Barrick Gold Corporation-f1-01723131_1-1-2,2011-03-30,FS,1300.0,1037.6634154062199,895.6389016684265,1230.5231322037473,753.614387930633,1423.3828490012747
2011a-000030469 Cerro Resources NL-f1-01750733_2-1-1,2011-03-31,FS,1060.0,1038.1428711885328,891.4957054457093,1221.4159784649212,744.8485397028858,1404.6890857413096
2011a-000002563 SEMAFO INC-f1-01722229_1-1-1,2011-03-31,FS,1100.0,1038.1428711885328,891.4957054457093,1221.4159784649212,744.8485397028858,1404.6890857413096
2011a-000002785 Sutter Gold Mining Inc-f1-01760289_1-1-1,2011-03-31,,1100.0,1038.1428711885328,891.4957054457093,1221.4159784649212,744.8485397028858,1404.6890857413096
2011a-000002830 Goldcorp Inc-f1-01748704_3-1-1,2011-04-05,FS,1100.0,1040.0327377124017,893.1186110559611,1223.639480868571,746.2044843995204,1407.24622402474
2011a-000018939 Carpathian Gold Inc-f1-01762934_1-1-1,2011-04-06,FS,1150.0,1039.3823347765504,892.5600834773273,1222.874256196383,745.7378321781043,1406.3661776162157
2011a-000018190 Chesapeake Gold Corp-f1-01733412_1-1-1,2011-04-21,PEA,900.0,1054.296491189177,900.0242550218569,1235.1798308713212,745.7520188545368,1416.0631705534652
2011a-000000880 NovaGold Resources Inc-f1-01743319_1-1-1,2011-05-09,,1000.0,1059.7309561538418,903.6512085536805,1242.0769802208406,747.5714609535191,1424.4230042878391
2011a-000023934 Intrepid Mines Limited-f1-01754090_2-1-1,2011-06-01,PEA,1050.0,1077.4755298675539,922.4882143879873,1273.571471396957,767.5008989084208,1469.6674129263597
2011b-000004187 Mediterranean Resources Ltd-f1-01789335_1-1-1,2011-06-14,PEA,1000.0,1079.8305303379195,919.5005219161903,1269.7374058440757,759.1705134944611,1459.644281350232
2011a-000006180 New Pacific Metals Corp-f1-01760801_1-1-1,2011-06-17,,650.0,1079.678286476683,919.3708827682569,1269.5583872666314,759.0634790598309,1459.4384880565797
2011a-000005241 Oromin Explorations Ltd-f1-01761293_1-1-1,2011-06-18,PEA,1000.0,1079.4401524119191,919.1681061374019,1269.2783732078126,758.8960598628846,1459.1165940037058
2011b-000022260 Brazilian Gold Corporation-f1-01775873_1-1-1,2011-06-21,PEA,1300.0,1078.5015015210718,914.8599166048883,1271.6467790547088,751.2183316887049,1464.7920565883458
2011b-000013309 La Mancha Resources Inc-f1-01770001_1-1-1,2011-06-28,FS,1000.0,1078.7848487734186,913.8207853289896,1270.9997816373896,748.8567218845604,1463.2147145013605
2011b-000002432 Pan American Silver Corp-f1-01804192_1-1-1,2011-06-30,PEA,1250.0,1081.633405292,916.2337503959569,1274.3558861629722,750.8340954999139,1467.0783670339447
2011b-000000880 NovaGold Resources Inc-f1-01801094_1-1-1,2011-07-11,PFS,1100.0,1087.01815570344,916.7500562343934,1272.3160079561337,746.4819567653467,1457.6138602088274
2011b-000001913 Northgate Minerals Corporation-f1-01800614_1-1-1,2011-07-22,,1100.0,1104.1204715323295,928.5842417660632,1298.6957955732837,753.0480119997969,1493.2711196142382
2011b-000009365 Rubicon Minerals Corporation-f1-01783947_1-1-1,2011-08-08,,1100.0,1110.4878853185269,932.6773827994809,1295.2592322000673,754.8668802804351,1480.0305790816078
2011b-000023397 Lydian International Limited-f1-01788848_1-1-1,2011-08-12,PEA,1200.0,1108.7488987675335,931.2168414945763,1293.2308999556324,753.6847842216191,1477.7129011437314
2011b-000032576 Patagonia Gold plc-f1-01837758_2-1-1,2011-08-20,,1204.0,1120.408254978324,941.0093101739512,1306.8302277584783,761.6103653695784,1493.2522005386325
2011b-000007865 Esperanza Resources Corp-f1-01808844_1-1-1,2011-09-01,PEA,1150.0,1156.5411719666147,969.1583671993858,1345.0332803470292,781.7755624321569,1533.5253887274434
