report_id,year,effective_date,company,study_type,concentrate_id,concentrate_name,concentrate_type,tc_usd_per_dmt,cu_rc_usd_per_lb,zn_rc_usd_per_lb,ag_rc_usd_per_oz,au_rc_usd_per_oz,cu_grade_pct,zn_grade_pct,ag_grade_gpt,au_grade_gpt,moisture_pct,cu_payability_pct,zn_payability_pct,ag_payability_pct,au_payability_pct
2007-000003448 Sherwood Copper Corporation-f1-01199204_1-1-1,2007,2007-11-30,Sherwood Copper Corporation,PFS,1,copper_gold_concentrate,copper,70,0.07,,0.4,6,41,,,30.4,8.5,96,,,
2007-000003479 Corriente Resources Inc-f1-01198157_2-1-1,2007,2007-10-30,Corriente Resources Inc,PEA,1,copper_concentrate,copper,75,0.075,,,,29.5,,48,0.8,8,96.5,,90,90
2007-000003684 Tyler Resources Inc-f1-01180358_2-1-1,2007,2007-11-08,Tyler Resources Inc,PEA,1,copper_concentrate,copper,80,0.08,,,,25,,,,,96.5,,95,95
2007-000005733 Sabina Silver Corporation-f1-01060126_1-1-1,2007,2007-03-01,Sabina Silver Corporation,PEA,1,copper_concentrate,copper,120,0.133634173,,0.5,8,31,1.27,5425,18,6,97,,99,97
2007-000007781 Independent Nickel Corp-f1-01195133_1-1-1,2007,2007-12-05,Independent Nickel Corp,PFS,1,nickel_copper_concentrate,copper,239.3617021,,,,,7.54,,,,6,85,,,
2007-000008959 Terrane Metals Corp-f1-01173997_5-1-1,2007,2007-10-29,Terrane Metals Corp,PEA,1,copper_gold_concentrate,copper,85,0.085,,0.6,8,27.33,,106.68,46.38,8,,,90,97.5
2007-000011318 Canadian Royalties Inc-f1-01127192_4-1-1,2007,2007-06-29,Canadian Royalties Inc,FS,2,copper_concentrate,copper,,,,,,29.6,,,,,,,,
2007-000013559 Metco Resources Inc-f1-01129924_4-1-1,2007,2007-07-17,Metco Resources Inc,PFS,2,copper_concentrate,copper,,,,,,23,,,,7,,,,
2007-000020615 Asian Mineral Resources Limited-f1-01157195_1-1-1,2007,2007-01-01,Asian Mineral Resources Limited,FS,1,nickel_copper_concentrate,copper,,,,,,,,,,8,,,,
2007-000020780 First Nickel Inc-f1-01145570_1-1-1,2007,2007-08-17,First Nickel Inc,FS,2,copper_concentrate,copper,,,,,,,,,,,,,,
2007-000026138 Marengo Mining Limited-f1-01180022_1-1-1,2007,2007-01-01,Marengo Mining Limited,PEA,1,copper_concentrate,copper,,,,,,17.8,,,,,,,,
2008-000003479 Corriente Resources Inc-f1-01263617_1-1-1,2008,2008-04-03,Corriente Resources Inc,FS,1,copper_gold_concentrate,copper,75,0.08,,,6,29.5,,58,4.9,9.2,96.5,,,95
2008-000003532 International Minerals Corporation-f1-01235618_1-1-1,2008,2008-03-26,International Minerals Corporation,PFS,1,copper_gold_concentrate,copper,,,,,,18,,,2,,,,,
2008-000009698 Virgin Metals Inc-f1-01320310_2-1-1,2008,2008-07-28,Virgin Metals Inc,PFS,2,copper_concentrate,copper,,,,,,23,,,,10,,,,
2008-000010999 Odyssey Resources Limited-f1-01228059_1-1-1,2008,2007-01-01,Odyssey Resources Limited,PEA,1,copper_concentrate,copper,90,0.09,,,,42,,12.3,,,,,95,
2008-000012057 Gold Reserve Inc-f1-01244276_1-1-1,2008,2008-03-31,Gold Reserve Inc,FS,1,copper_concentrate,copper,0.06,0.09,,,3.11,24,,99,90,,83.3,,,81.6
2008-000013559 Metco Resources Inc-f1-01234033_1-1-1,2008,2008-03-21,Metco Resources Inc,PFS,2,copper_concentrate,copper,,,,,,23,7,361,2.6,,,,,
2008-000020132 Cogitore Resources Inc-f1-01357048_1-1-1,2008,2008-10-24,Cogitore Resources Inc,FS,1,copper_concentrate,copper,,,,,,20.6,13.7,2522,82.6,,,,,
2008-000020823 Equinox Minerals Limited-f1-01282420_1-1-1,2008,2008-01-01,Equinox Minerals Limited,FS,1,copper_concentrate,copper,,,,,,40.2,,,0.68,7.3,,,,
2008-000020823 Equinox Minerals Limited-f1-01282420_1-1-1,2008,2008-01-02,Equinox Minerals Limited,FS,2,copper_concentrate,copper,,,,,,29.1,,,1.11,7.4,,,,
2008-000021569 International Royalty Corporation-f1-01332223_2-1-1,2008,2008-10-19,International Royalty Corporation,FS,3,copper_concentrate,copper,,,,,,21,,,,,,,,
2008-000023811 First Metals Inc-f1-01253557_1-1-1,2008,2008-04-07,First Metals Inc,PFS,1,copper_concentrate,copper,,,,,,27.2,,,,,95.5,,,
2008-000024059 ATW Venture Corp-f1-01283919_2-1-1,2008,2008-06-13,ATW Venture Corp,FS,1,copper_gold_concentrate,copper,,,,,,24.4,,114,36,10.8,,,,
2008-000027145 Tiger Resources Limited-f1-01332326_3-1-1,2008,2008-10-07,Tiger Resources Limited,FS,1,copper_concentrate,copper,,,,,,25,,,,,,,,
2008-000027145 Tiger Resources Limited-f1-01332326_3-1-1,2008,2008-10-07,Tiger Resources Limited,FS,2,copper_concentrate,copper,,,,,,95,,,,,95,,,
2009-000004130 KINBAURI GOLD CORP-f1-01384831_1-1-1,2009,2009-03-06,KINBAURI GOLD CORP,PEA,1,copper_concentrate,copper,83.89845,0.08352,,,4.65885,28,,,145.35,18,96.4,,,97.5
2009-000004130 KINBAURI GOLD CORP-f1-01406401_2-1-1,2009,2009-03-06,KINBAURI GOLD CORP,PEA,1,copper_gold_concentrate,copper,,,,,,28,,,145.35,,96.4,,,97.5
2009-000004690 Pacific Booker Minerals Inc-f1-01387376_1-1-1,2009,2009-03-12,Pacific Booker Minerals Inc,FS,1,copper_gold_concentrate,copper,85,0.085,,,7,25.1,,75,9,8,100,,,96.5
2009-000005733 Sabina Gold & Silver Corp-f1-01519262_1-1-1,2009,2009-12-23,Sabina Gold & Silver Corp,PEA,1,copper_concentrate,copper,85,0.174,,0.7,10,23.5,,,,6,97,,99,97
2009-000008483 Anatolia Minerals Development Limited-f1-01484170_1-1-1,2009,2009-07-31,Anatolia Minerals Development Limited,PEA,1,copper_gold_concentrate,copper,,,,,,25.2,,23,24.4,,,,,
2009-000009161 Silver Wheaton Corp-f1-01495164_3-1-1,2009,2009-09-09,Silver Wheaton Corp,FS,1,copper_gold_concentrate,copper,90,0.09,,0.4,6,12,,,,,80,,,
2009-000010193 Chariot Resources Limited-f1-01415384_1-2-1,2009,2009-06-08,Chariot Resources Limited,FS,1,copper_concentrate,copper,87,0.087,,0.35,5,37.8,,335,0.7,,96.5,,90,90
2009-000022676 Selkirk Metals Corp-f1-01483120_1-1-1,2009,2004-08-01,Selkirk Metals Corp,FS,1,copper_gold_concentrate,copper,50,0.05,,0.4,6,26,,,90.1,,96.5,,90,97.75
2009-000022676 Selkirk Metals Corp-f1-01483123_2-1-1,2009,2004-12-16,Selkirk Metals Corp,FS,1,copper_gold_concentrate,copper,,,,,,27,,42,17.3,,,,,
2009-000024169 Moly Mines Limited-f1-01465727_1-1-1,2009,2009-08-25,Moly Mines Limited,FS,2,copper_concentrate,copper,,,,,,25.1,,,,,,,,
2009-000025114 Mirabela Nickel Limited-f1-01377993_1-1-1,2009,2009-01-01,Mirabela Nickel Limited,FS,1,nickel_copper_concentrate,copper,,,,,,3.5,,,,9.8,,,,
2009-000025132 Coro Mining Corp-f1-01424004_1-1-1,2009,2008-06-18,Coro Mining Corp,PEA,1,copper_concentrate,copper,70,0.07,,,,26,,,,9,97,,,
2009-000025279 Copper Mountain Mining Corporation-f1-01463573_2-1-1,2009,2009-08-21,Copper Mountain Mining Corporation,FS,1,copper_concentrate,copper,75,0.075,,0.45,6,30,,,,8,96.5,,90,95
2009-000025710 Polar Star Mining Corporation-f1-01437997_1-1-1,2009,2009-05-08,Polar Star Mining Corporation,PEA,1,copper_gold_concentrate,copper,83.33333333,,,,6,,,,,10,,,,
2010-000002244 Goldbrook Ventures Inc-f1-01564000_1-1-1,2010,2010-02-22,Goldbrook Ventures Inc,FS,2,copper_concentrate,copper,111.9565217,0.1,,,,29.8,,,,8,97,,,
